N , J(N)
40.2 , 5.42282e-06
40.3 , 6.29422e-06
40.4 , 7.18215e-06
40.5 , 8.08657e-06
40.6 , 9.00721e-06
40.7 , 9.94359e-06
40.8 , 1.0895e-05
40.9 , 1.18605e-05
41 , 1.28389e-05
41.1 , 1.3829e-05
41.2 , 1.48292e-05
41.3 , 1.58379e-05
41.4 , 1.68533e-05
41.5 , 1.78735e-05
41.6 , 1.88963e-05
41.7 , 1.99197e-05
41.8 , 2.09414e-05
41.9 , 2.1959e-05
42 , 2.297e-05
42.1 , 2.39722e-05
42.2 , 2.49629e-05
42.3 , 2.59396e-05
42.4 , 2.68998e-05
42.5 , 2.7841e-05
42.6 , 2.87606e-05
42.7 , 2.96561e-05
42.8 , 3.05252e-05
42.9 , 3.13653e-05
43 , 3.21743e-05
43.1 , 3.29497e-05
43.2 , 3.36894e-05
43.3 , 3.43913e-05
43.4 , 3.50535e-05
43.5 , 3.56739e-05
43.6 , 3.6251e-05
43.7 , 3.67829e-05
43.8 , 3.72683e-05
43.9 , 3.77056e-05
44 , 3.80936e-05
44.1 , 3.84313e-05
44.2 , 3.87176e-05
44.3 , 3.89518e-05
44.4 , 3.91331e-05
44.5 , 3.9261e-05
44.6 , 3.93351e-05
44.7 , 3.93553e-05
44.8 , 3.93214e-05
44.9 , 3.92335e-05
45 , 3.90917e-05
45.1 , 3.88966e-05
45.2 , 3.86485e-05
45.3 , 3.83482e-05
45.4 , 3.79963e-05
45.5 , 3.75937e-05
45.6 , 3.71415e-05
45.7 , 3.66409e-05
45.8 , 3.6093e-05
45.9 , 3.54992e-05
46 , 3.4861e-05
46.1 , 3.418e-05
46.2 , 3.34577e-05
46.3 , 3.2696e-05
46.4 , 3.18966e-05
46.5 , 3.10614e-05
46.6 , 3.01923e-05
46.7 , 2.92914e-05
46.8 , 2.83606e-05
46.9 , 2.7402e-05
47 , 2.64178e-05
47.1 , 2.54102e-05
47.2 , 2.43811e-05
47.3 , 2.3333e-05
47.4 , 2.22678e-05
